ASKotec v2.0_000_2019 Content List;;;;;
;DESIGN ;;;;
109;Items;;T;Tools;
17;kg;;M;Materials;
List;V2019-06-13;;I;Information;
;;;;;
#;Name;TYPE;QUAN;DETAIL;CHECK
1;Askotec Table of Content + Packing/Un-Packing Guide;I;1;;
2;OLG + OHG + OTG (1 each);I;1;Open Learning Guide, Open Hardware Guide, Open Training Guide;
3;1 Way Switch;M;10;WS 13x19-1E rocker switch;
4;1,5 V AA Batteries;M;4;Alkaline 1,5 V AA/LR6;
5;3 Way Switch (I 0 II);M;5;21x15mm, 250 V / 6 A;
6;4V Solar Panel 200mA;M;10;SOLAR SM4200 solar cell, encapsulated, 4 V, 0,2 A;
7;5V Regulator;M;10;7805 +5V 1A TO220;
8;Batteries CR 2032;M;5;CR 2032 X5 RND Lithium button cell, 3 V, 20,0x3,2 mm, pack of 5;
9;Battery Case (3-2);M;1;BH 3-2;
10;Battery Case (3-3);M;2;BH 3-3;
11;Battery Wire Connectors;M;2;9V connection BC-9I;
12;Big Led Lights White;M;10;10mm WS/150CD-35 120 mA 6500K;
13;Black Iso Tape;M;1;ISOBAND black VDE, 10 m x 15 mm;
14;Capacitors 100µF;M;10;100 µF 25 V;
15;Capacitors 10µF;M;10;10 µF 35 V;
16;Circuit Board;M;5;811/5-5*100MM dot matrix;
17;Crocodile Clips (PACK OF 10);M;2;MK 612S connection lines, pack of 10;
18;Desinfaction spray;M;1;wound spray;
19;Diodes;M;20;1000V 1A UNIVERSAL DIODE (1N 4007);
20;Duct Tape;M;1;TESA 56389 SW 50 m x 50 mm;
21;First Aid Kit ;M;1;Wundmed first aid set + belt loop (32 parts);
22;Garden Wire;M;1;Gardol Silver, zinc-plated, 40 m, 0,65 mm;
23;Glue stick;M;1;UHU stick 21g;
24;Heat Shrink Tubes (PACK OF 100);M;1;DELOCK 86271, black pack of 100;
25;Jumper Wire M/F (PACK OF 40);M;1;FlexJumper 10M/F (40x);
26;Jumper Wire M/M (PACK OF 40);M;1;FlexJumper 10M/M (40x);
27;Led Lights Mini Red;M;25;3 RT / -25X (3mm);
28;Led Lights Mini White;M;10;bright small LEDs;
29;Monobloc battery 9V;M;2;Alkaline , RND;
30;Ointment Gel ;M;1;wound-healing gel;
31;4 in 1 USB Hub;M;2;DIGITUS DA-70216, USB 2.0 Hub, 100cm;
32;plastic bags;M;20;PE/G 80x120 (100x);
33;Rechargeable Batteries in a case (PACK OF 4);M;2;AA Mignon-eneloop/Box (4x) 2000mA + plastic case;
34;Resistors 10 Ω;M;50;10R-0204-1% 0,4W TK50;
35;Resistors 100 Ω;M;50;100R-0204-1% 0,4W;
36;Resistors 1000 Ω;M;50;1kR-0204-1% 0,4W;
37;Resistors 15 Ω;M;50;15R-0204-1% 0,4W TK50;
38;Resistors 300 Ω;M;50;300R-0204-1% 0,4W TK50;
39;Sand Paper Piece;M;1;small piece of sandpaper sheet 100;
40;Single Color Black Wire;M;1;LIYV0,5SW 25m (BLACK);
41;Single Color Red Wire;M;1;LIYV0,5RT 25m (RED);
42;Small Trainer Notepad;M;1;Spiral Block A6;
43;Solder roll;M;1;ø 1mm, 100g, leaded;
44;Soldering Grease;M;1;KOLOPHONIUM 20 G STANNOL;
45;Sticky Notes;M;3;yellow sticky notes pack of 3x 100 small;
46;Strong Allround Glue;M;1;50g Allround Glue strong Uhu;
47;SuperGlue Pipette;M;1;10g SuperGlue extra strong Pipette;
48;Twin Wires;M;1;LIY 2*0,14RT/SW 5M;
49;Twine;M;1;Stabilit plastic twine;
50;Zip Ties mid size (PACK OF 100);M;1;100 zip ties black, 200x3,6mm;
51;Arduino Starter Set V3;T;1;STARTER SET V3;
52;Assortment box;T;1;310x105x40mm 8 partitions PP 200/CA;
53;Battery Soldering Iron;T;1;8W;
54;Bread Board;T;1;Protoboard Size 400;
55;Bread Board Small;T;4;Protoboard Size 170;
56;Calculator;T;1;REBELL ECO10 Eco line, black;
57;Case;T;1;MAX520;
58;Case straps;T;1;backpack system MAX520TR;
59;Case trolley;T;1;trolley system MAX520;
60;Chopsticks (PAIR);T;1;simple chopsticks non conductive material;
61;Clipboard With Paper;T;1;black;
62;Combination Chain Lock;T;1;for bicycles; 4 combination wheels;
63;Copper Solder Cleaner;T;1;AA 2mm 1,6m STANNOL;
64;Cutter;T;1;FISKARS 1397 cutter, 9 mm blade;
65;Cutter blades (PACK OF 10);T;1;FISKARS 1391 10x 9 mm replacement blades;
66;Eraser;T;1;small eraser;
67;Hacksaw (incl. 12 blades);T;1;MINI SAEGE 12 ::150 mm blades;
68;Headphones;T;1;HQ-HP107IE :: In-Ear Stereo;
69;HyracBox;T;1;small/big offline server for storing links to important open resources | comes with cable & battery pack;
70;keyboard replacement stickers USA layout;T;1;keyboard replacement stickers USA layout – maxi (14x14);
71;Laptop | Dell E7240 | OS: Zorin OS 15;T;1;Dell Latitude E7240 i5-4300U 1,9GHz 8GB 128GB SSD 12,5;
72;LED Tester;T;1;LED TESTER 2...150MA;
73;Lighter;T;1;small one (e.g. BIG);
74;Marker;T;1;permanent marker 3000 Edding black;
75;Mechanical Tool Set Black And Decker;T;1;black-orange rolled up tool bag;
76;Metal ruler;T;1;;
77;Multi Battery Charger;T;1;ANS 1001-0019 PhotoCam Vario, for all rechargeable batteries ;
78;Multimeter;T;1;MS 8233 B with display light;
79;Notebook Sleeve 11,6“;T;1;Vivanco Notebook Sleeve 11,6“;
80;Pen;T;1;;
81;Pencil + eraser;T;1;;
82;Pencil Pouch ;T;1;nylon zipper bag (Pen, Pencil, Sharpener, Small Brush, Highlighter, Marker, Metal Ruler);
83;Plastic Containers;T;4;BOX 11/40  small plastic storage container with lid;
84;Plastic Zipper Bag A4;T;1;blue zipper;
85;Plastic Zipper Bag A6;T;5;orange zipper;
86;Plastic Zipper Bag B6;T;2;red zipper;
87;Protractor / Ruler;T;1;length 160mm;
88;Radio Set;T;1;FM - MODUL SI 4703;
89;Scissors;T;1;REXEL 2104242 stainless steel, grün;
90;Sewing Kit;T;1;basic sewing threads and needles and magnifying glas;
91;Sharpener;T;1;;
92;Small Brush;T;1;small yellow-haired paint brush;
93;Small Combination Padlock;T;1;ABUS Jet Set | 155 ;
94;Soldering Iron Tray;T;1;CLEANER 460A incl. cleaner;
95;Soldering tip (extra);T;1;round, 3.9mm;
96;Textile Tool Box;T;1;Travel bag/box, Wera 2 Go 3, Textile, 325x130x80 mm, black with velcro;
97;Third hand;T;1;Third Hand Tool with Magnifying Glass;
98;Tool bag + soldering iron;T;1;FIXPOINT 45243 tool bag + soldering iron, 20 parts;
99;Travel Adapter;T;1;KW 38462 including USB plug;
100;Universal Mobile repair Kit;T;1;GB 44690 for smartphones, 17 parts, incl. Pentalobe;
101;USB flash drive (32GB);T;1;TOS U301W0320E4 USB-Stick, USB 3.0, 32 GB, U301 white;
102;USB Volt- & Amperemeter;T;1;USB Detector/DualDisplay Charger Doctor;
103;Wire Cutter;T;1;red & slim;
104;Workplace Textile;T;1;A0 cotton;
